"","name","real3","drpm"
"186","Jamal Crawford",38.913,-4.34
"187","Jameer Nelson",30.705,-2.49
"188","James Ennis",10.106,-0.36
"189","James Harden",78,-0.16
"190","James Johnson",2.376,1.66
"191","James Jones",22.68,-3.29
"193","James Young",4.386,-2.07
"194","JaMychal Green",0,-0.78
"195","Jannero Pargo",3.681,-1.79
"196","Jared Cunningham",1.232,-0.72
"197","Jared Dudley",28.49,2.47
"198","Jared Sullinger",14.716,0.15
"200","Jarrett Jack",10.413,-1.59
"202","Jason Richardson",10.013,-0.51
"203","Jason Smith",5.355,-3.37
"204","Jason Terry",49.14,0.36
"205","Jason Thompson",0,0.27
"209","Jeff Green",32.204,-2.05
"210","Jeff Teague",24.353,0.95
"212","Jerami Grant",15.386,1.12
"213","Jerel McNeal",0.5,-1.21
"214","Jeremy Evans",0.8,0.72
"215","Jeremy Lamb",12.996,-1.4
"216","Jeremy Lin",23.985,0.27
"219","Jerryd Bayless",11.396,-0.53
"220","Jimmer Fredette",1.692,-1.95
"221","Jimmy Butler",27.594,0.43
"222","Joakim Noah",0,2.21
"223","Jodie Meeks",25.826,-2.38
"224","Joe Harris",11.439,-3.57
"225","Joe Ingles",25.632,-0.28
"226","Joe Johnson",43.439,-1.24
"229","Joey Dorsey",0,1.03
"230","Joffrey Lauvergne",0.564,-1.71
"232","John Jenkins",8.484,-0.54
"233","John Salmons",2.464,-1.33
"234","John Wall",19.5,1.73
"235","Jon Leuer",1.687,0.7
"236","Jonas Jerebko",20.844,1.65
"237","Jonas Valanciunas",0,1.03
"238","Jordan Adams",4,-0.61
"239","Jordan Clarkson",11.932,-3
"240","Jordan Farmar",12.635,-1.18
"241","Jordan Hamilton",4.76,-1.22
"242","Jordan Hill",0.819,-1.42
"243","Jorge Gutierrez",0,-1.09
"244","Jose Calderon",24.485,-2.75
"245","Josh McRoberts",3.368,1.24
"246","Josh Smith",22.752,1.39
"247","Jrue Holiday",19.278,0.77
"249","Justin Hamilton",3.23,-0.44
"250","Justin Holiday",11.235,-0.23
"251","Jusuf Nurkic",0,4.02
"252","K.J. McDaniels",12.341,-0.5
"254","Kawhi Leonard",23.383,4.59
"255","Kelly Olynyk",21.289,1.71
"256","Kemba Walker",25.84,-2
"257","Kendall Marshall",7.038,-0.91
"258","Kendrick Perkins",0,1.06
"259","Kenneth Faried",0.125,0.25
"260","Kent Bazemore",17.472,0.03
"261","Kentavious Caldwell-Pope",52.785,-0.37
"263","Kevin Durant",25.792,0.67
"264","Kevin Garnett",0.143,2.32
"265","Kevin Love",52.848,0.96
"266","Kevin Martin",29.475,-3.07
"267","Kevin Seraphin",0,-0.28
"268","Khris Middleton",44.363,4.09
"269","Kirk Hinrich",20.01,-1.83
"270","Klay Thompson",104.921,-0.72
"271","Kobe Bryant",15.822,-3.06
"273","Kostas Papanikolaou",9.052,-0.61
"274","Kris Humphries",0,-0.24
"275","Kyle Anderson",0.819,-0.87
"276","Kyle Korver",108.732,1.34
"277","Kyle Lowry",44.616,1.25
"278","Kyle O'Quinn",3.348,1.82
"279","Kyle Singler",38.208,-1.29
"280","Kyrie Irving",65.155,-0.89
"281","LaMarcus Aldridge",13.024,0.36
"282","Lance Stephenson",3.078,-0.22
"283","Lance Thomas",2.226,-1.64
"284","Landry Fields",0.5,-1.84
"285","Langston Galloway",21.824,-0.47
"288","Leandro Barbosa",16.512,-1.82
"289","LeBron James",42.48,2.76
"290","Lester Hudson",1.5,-0.93
"292","Luigi Datome",8.1,0.18
"293","Luis Scola",1.25,0.87
"294","Luke Babbitt",30.267,-1.85
"295","Luke Ridnour",6.34,-2.14
"296","Luol Deng",27.69,-0.33
"297","Manu Ginobili",30.705,1.75
"298","Marc Gasol",0.528,1.91
"299","Marcin Gortat",0,2.56
"300","Marco Belinelli",32.164,-3.12
"301","Marcus Morris",40.096,-1.91
"302","Marcus Smart",30.485,1.05
"303","Marcus Thornton",20.412,-1.69
"304","Mario Chalmers",21.462,0.45
"305","Markel Brown",4.522,-1.85
"306","Markieff Morris",18.126,3.03
"307","Marreese Speights",1.39,-1.47
"308","Martell Webster",2.33,-2.89
"309","Marvin Williams",34.01,1.03
"310","Mason Plumlee",0,-0.29
"311","Matt Barnes",49.232,1.83
"312","Matt Bonner",16.79,-2.52
"313","Matthew Dellavedova",27.676,0
"314","Maurice Harkless",1.79,0.66
"315","Meyers Leonard",19.74,1.71
"316","Michael Beasley",1.88,0.99
"317","Michael Carter-Williams",8.46,0.78
"319","Mike Conley",41.302,-0.25
"320","Mike Dunleavy",43.549,2.15
"321","Mike Miller",10.464,-1.25
"322","Mike Muscala",3.681,0.92
"323","Mike Scott",22.704,-1.44
"326","Mirza Teletovic",19.902,0.95
"327","Mitch McGary",0,0.35
"328","Mo Williams",40.698,-1.74
"329","Monta Ellis",23.085,0.11
"330","Nate Robinson",8.587,-1.73
"331","Nate Wolters",0,-1.46
"333","Nene Hilario",0.2,2.91
"335","Nick Calathes",2.816,3.73
"336","Nick Collison",4.272,2.13
"337","Nick Johnson",1.19,-0.95
"338","Nick Young",30.627,-1.7
"339","Nicolas Batum",32.4,0.12
"340","Nik Stauskas",15.456,-2.45
"341","Nikola Mirotic",31.284,1.75
"343","Nikola Vucevic",0.666,-0.37
"344","Noah Vonleh",1.925,-0.12
"345","Norris Cole",17.215,-1.85
"346","O.J. Mayo",35.343,-0.66
"349","Omri Casspi",14.07,-1.74
"350","Otto Porter",11.795,-0.59
"351","P.J. Hairston",14.749,-2.68
"352","P.J. Tucker",30.015,0.6
"353","Pablo Prigioni",19.551,-0.3
"354","Patrick Beverley",40.94,-0.3
"355","Patrick Christopher",0,-1.22
"356","Patrick Patterson",38.955,-1.83
"357","Pau Gasol",5.544,1.45
"358","Paul George",3.681,-0.71
"359","Paul Millsap",27.412,2.22
"360","Paul Pierce",45.902,0.25
"361","Pero Antic",15.652,1.46
"362","Perry Jones",3.262,-2.07
"363","Phil Pressey",3.936,-0.78
"364","Quincy Acy",5.4,1.17
"365","Quincy Miller",0.501,0.43
"366","Quincy Pondexter",33.943,-0.54
"367","Rajon Rondo",8.478,0.34
"368","Ramon Sessions",6.023,-0.31
"369","Randy Foye",33.558,-2.46
"370","Rasual Butler",35.217,-1.77
"371","Ray McCallum",10.404,-2.95
"372","Raymond Felton",2.94,-1.34
"373","Reggie Bullock",4.89,0.05
"374","Reggie Evans",0,0
